,Time,PosX_ref,PosY_ref,PosZ_ref,VelX_ref,VelY_ref,VelZ_ref,AccX_ref,AccY_ref,AccZ_ref,Lat,Long,Height,Validity,PVTType,PVTStatus,SatUsed,SatVis,SatTrack,PosX_est,PosY_est,PosZ_est,VelX_est,VelY_est,VelZ_est,AccX_est,AccY_est,AccZ_est,Bias,Drift,GGTO,GGTODrift,PDOP,HDOP,VDOP,TDOP,TDOP1,GDOP,PosErrX,PosErrY,PosErrZ,HorErr,VerErr,GV1,GV2,GV3,GV4,GV5,GV6,GV7,GV8,GV9,GV10,GV11,GV12,GV13,GV14,GV15,GV16,EV1,EV2,EV3,EV4,EV5,EV6,EV7,EV8,EV9,EV10,EV11,EV12,EV13,EV14,EV15,EV16,dataset_number,dataset_name,errorX,errorY,errorZ,x_ref,y_ref,z_ref,errorVelX,errorVelY,errorVelZ,north,east,down,HPE,VPE,used_satellites,delta_pos_error_3d,delta_pos_error_2d,delta_pos_error_vertical,delta_pos_error_horizontal
0,0.0,4339936.0,1095421.4,4528776.0,-24.473,96.9591,0.0,-0.002,-0.001,0.0,0.79461175,0.24724087,188.0,0,1,0,9,11,9,4339935.803,1095421.326,4528776.399,-24.481,96.944,-0.0,-0.146,-0.105,0.101,-13768.316,-3.88,0.0,0.0,1.5,0.9,1.2,0.7,0.0,1.7,-0.34600000000000003,-0.078,0.157,0.363166,0.136803,G21,G16,G19,G3,G6,G23,G13,G25,G24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,opg,-0.1969999996945262,-0.049000000115484,0.39900000020861626,4339936.0,1095421.4,4528776.0,-0.008000427246095398,-0.015098815917966135,-0.0,0.4243841869817233,0.0007017679604738591,-0.14250813807999835,0.4243847672082595,0.14250813807999835,"G21, G16, G19, G3, G6, G23, G13, G25, G24",0.4476728717014652,0.2030024627706786,0.14250813807999835,0.4243847672082595
1,1.0,4339911.5,1095518.4,4528776.0,-24.4751,96.9586,0.0,-0.002,-0.001,0.0,0.79461175,0.24726321,188.0,0,1,0,9,11,9,4339911.462,1095518.832,4528776.459,-24.479,96.956,-0.014,-0.033,0.069,-0.086,-13772.565,-3.884,0.0,0.0,1.5,0.9,1.2,0.7,0.0,1.7,-0.213,0.469,0.217,0.5522100000000001,0.090668,G21,G16,G19,G3,G6,G23,G13,G25,G24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,opg,-0.03799999970942736,0.45699999993667006,0.4589999997988343,4339911.5,1095518.4,4528776.0,-0.0039004364013663917,-0.0026029052734344305,-0.014,0.2680334586952242,0.45240129872175266,-0.3800856872734225,0.5258411072417721,0.3800856872734225,"G21, G16, G19, G3, G6, G23, G13, G25, G24",0.6488250917892764,0.45857714718467263,0.3800856872734225,0.5258411072417721
2,2.0,4339887.0,1095615.4,4528776.0,-24.4773,96.958,0.0,-0.002,-0.001,0.0,0.79461175,0.24728554,188.0,0,1,0,9,11,9,4339887.011,1095615.685,4528776.324,-24.487,96.956,-0.034,0.11,0.07200000000000001,-0.241,-13776.485,-3.874,0.0,0.0,1.5,0.9,1.2,0.7,0.0,1.7,-0.187,0.364,0.08199999999999999,0.4179390000000001,0.005917,G21,G16,G19,G3,G6,G23,G13,G25,G24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,opg,0.010999999940395355,0.31000000005587935,0.32400000002235174,4339887.0,1095615.4,4528776.0,-0.009699356079099886,-0.0020001831054656805,-0.034,0.16522424282480744,0.2978774243658823,-0.29183383916868677,0.3406317812005845,0.29183383916868677,"G21, G16, G19, G3, G6, G23, G13, G25, G24",0.4485498857962376,0.3101950999505535,0.29183383916868677,0.3406317812005845
3,3.0,4339862.5,1095712.2,4528776.0,-24.4795,96.9575,0.0,-0.002,-0.001,0.0,0.79461175,0.2473079,188.0,0,1,0,9,11,9,4339863.422,1095712.384,4528777.085,-24.479,96.955,0.002,0.217,-0.099,0.003,-13781.018,-3.881,0.0,0.0,1.5,0.9,1.2,0.7,0.0,1.7,0.701,0.106,0.843,0.11098,1.096137,G21,G16,G19,G3,G6,G23,G13,G25,G24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,opg,0.9220000002533197,0.1340000000782311,1.084999999962747,4339862.5,1095712.2,4528776.0,0.0004998168945320458,-0.0024966430664079553,0.002,0.09878812988683949,-0.09577762963223851,-1.4234930809325135,0.1375952359077498,1.4234930809325135,"G21, G16, G19, G3, G6, G23, G13, G25, G24",1.4301276168255925,0.9316866428623347,1.4234930809325135,0.1375952359077498
4,4.0,4339838.0,1095809.2,4528776.0,-24.4816,96.9569,0.0,-0.002,-0.001,0.0,0.79461175,0.24733023,188.0,0,1,0,9,11,9,4339838.047,1095808.961,4528776.058,-24.462,96.961,0.037000000000000005,0.217,0.043,0.505,-13783.931,-3.907,0.0,0.0,1.5,0.9,1.2,0.7,0.0,1.7,-0.193,-0.274,-0.184,0.224969,0.309506,G21,G16,G19,G3,G6,G23,G13,G25,G24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,opg,0.04700000025331974,-0.2890000001061708,0.058000000193715096,4339838.0,1095809.2,4528776.0,0.01959980773925807,0.004098449707029772,0.037000000000000005,0.05860236298761825,-0.29171194568809455,-0.023746660876496066,0.29754007495607443,0.023746660876496066,"G21, G16, G19, G3, G6, G23, G13, G25, G24",0.29848618076495553,0.29279685805209515,0.023746660876496066,0.29754007495607443
5,5.0,4339814.0,1095906.2,4528776.0,-24.4838,96.9564,0.0,-0.002,-0.001,0.0,0.79461175,0.24735257,188.0,0,1,0,9,11,9,4339813.286,1095906.213,4528775.609,-24.478,96.958,0.016,0.131,0.115,0.153,-13787.479,-3.891,0.0,0.0,1.5,0.9,1.2,0.7,0.0,1.7,-0.471,0.021,-0.633,0.181585,0.7682260000000001,G21,G16,G19,G3,G6,G23,G13,G25,G24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,opg,-0.7139999996870756,-0.03700000001117587,-0.39099999982863665,4339814.0,1095906.2,4528776.0,0.005800888061521903,0.0016019897460921584,0.016,0.2265418782604025,0.13894044336582959,0.7703378025330969,0.265754904768368,0.7703378025330969,"G21, G16, G19, G3, G6, G23, G13, G25, G24",0.8148901762936923,0.71495804041494,0.7703378025330969,0.265754904768368
6,6.0,4339789.5,1096003.1,4528776.0,-24.486,96.9559,0.0,-0.002,-0.001,0.0,0.79461175,0.24737492,188.0,0,1,0,9,11,9,4339788.886,1096003.373,4528775.565,-24.49,96.961,-0.008,0.053,0.037000000000000005,0.151,-13791.765,-3.897,0.0,0.0,1.5,0.9,1.2,0.7,0.0,1.7,-0.386,0.225,-0.677,0.397858,0.706811,G21,G16,G19,G3,G6,G23,G13,G25,G24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,opg,-0.6140000000596046,0.2479999999050051,-0.43499999959021807,4339789.5,1096003.1,4528776.0,-0.003999938964842187,0.005097900390623522,-0.008,0.07673007230871992,0.39079432313890994,0.6849213770028402,0.39825583108612506,0.6849213770028402,"G21, G16, G19, G3, G6, G23, G13, G25, G24",0.792290981691428,0.6621933252654221,0.6849213770028402,0.39825583108612506
7,7.0,4339765.0,1096100.1,4528776.0,-24.4881,96.9553,0.0,-0.002,-0.001,0.0,0.79461175,0.24739726,188.0,0,1,0,9,11,9,4339765.0660000015,1096100.049,4528776.325,-24.476,96.975,0.017,0.079,0.425,0.258,-13795.988,-3.912,0.0,0.0,1.5,0.9,1.2,0.7,0.0,1.7,0.28,-0.055,0.083,0.175716,0.24011,G21,G16,G19,G3,G6,G23,G13,G25,G24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,opg,0.06600000150501728,-0.075999999884516,0.3250000001862645,4339765.0,1096100.1,4528776.0,0.012100051879883722,0.019700622558588066,0.017,0.19530016802955677,-0.08984819853430431,-0.2637084486510582,0.21497640431506168,0.2637084486510582,"G21, G16, G19, G3, G6, G23, G13, G25, G24",0.3402308044580629,0.10065783715691846,0.2637084486510582,0.21497640431506168
8,8.0,4339740.5,1096197.0,4528776.0,-24.4903,96.9548,0.0,-0.002,-0.001,0.0,0.79461175,0.2474196,188.0,0,1,0,9,11,9,4339739.576,1096197.1609999998,4528776.35,-24.482,96.944,0.032,0.192,-0.023,0.389,-13799.239,-3.899,0.0,0.0,1.5,0.9,1.2,0.7,0.0,1.7,-0.72,0.102,0.108,0.620109,0.39444,G21,G16,G19,G3,G6,G23,G13,G25,G24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,opg,-0.9239999996498227,0.1609999998472631,0.34999999962747097,4339740.5,1096197.0,4528776.0,0.008299224853516307,-0.010803466796872385,0.032,0.856339814679559,0.3823874731342225,0.3502269852931429,0.9378369036327144,0.3502269852931429,"G21, G16, G19, G3, G6, G23, G13, G25, G24",1.0010978968327329,0.9379216381466478,0.3502269852931429,0.9378369036327144
9,9.0,4339716.0,1096294.0,4528776.0,-24.4925,96.9542,0.0,-0.002,-0.001,0.0,0.79461175,0.24744193,188.0,0,1,0,9,11,9,4339715.446,1096293.347,4528776.351,-24.497,96.931,-0.031,-0.027000000000000003,-0.221,-0.238,-13803.531,-3.876,0.0,0.0,1.5,0.9,1.2,0.7,0.0,1.7,-0.359,-0.6659999999999999,0.109,0.71132,0.28017800000000004,G21,G16,G19,G3,G6,G23,G13,G25,G24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,opg,-0.553999999538064,-0.6529999999329448,0.35099999979138374,4339716.0,1096294.0,4528776.0,-0.004499694824218636,-0.023200744628908865,-0.031,0.7433149148804056,-0.4974227799068439,0.23786448789223474,0.8943972745116775,0.23786448789223474,"G21, G16, G19, G3, G6, G23, G13, G25, G24",0.925486898477851,0.8563439725954757,0.23786448789223474,0.8943972745116775
